 # Integral loads: N.components: 1
 #                 Ref.sys     : MomentRef
 #                 Components  : wing
 #  t , Fx , Fy , Fz , Mx , My , Mz , ref_mat(9) , ref_off(3) 
  0.125000000000000E+000 -0.907565806044423E+002  0.840805723656413E-012  0.621075803604278E+003  0.134802805398369E-011  0.183944160382956E+002  0.562822381671402E-012  0.978147600700000E+000  0.000000000000000E+000 -0.207911690800000E+000  0.000000000000000E+000  0.100000000000000E+001  0.000000000000000E+000  0.207911690800000E+000  0.000000000000000E+000  0.978147600700000E+000 -0.235342312728420E+000  0.000000000000000E+000  0.500235528064800E-001
  0.131250000000000E+000 -0.908196578968125E+002  0.601211788686662E-012  0.621207367240393E+003  0.913093948199105E-012  0.184039045732271E+002  0.505815472551569E-012  0.978147600700000E+000  0.000000000000000E+000 -0.207911690800000E+000  0.000000000000000E+000  0.100000000000000E+001  0.000000000000000E+000  0.207911690800000E+000  0.000000000000000E+000  0.978147600700000E+000 -0.235342312728420E+000  0.000000000000000E+000  0.500235528064800E-001
  0.137500000000000E+000 -0.908980946492167E+002  0.757021181851947E-012  0.621522289557214E+003  0.101609752558234E-011  0.183989091949024E+002  0.496587676074551E-012  0.978147600700000E+000  0.000000000000000E+000 -0.207911690800000E+000  0.000000000000000E+000  0.100000000000000E+001  0.000000000000000E+000  0.207911690800000E+000  0.000000000000000E+000  0.978147600700000E+000 -0.235342312728420E+000  0.000000000000000E+000  0.500235528064800E-001
  0.143750000000000E+000 -0.909469242827522E+002  0.719824373718314E-012  0.621618483124926E+003  0.115974647439624E-011  0.184074818196403E+002  0.529040549535121E-012  0.978147600700000E+000  0.000000000000000E+000 -0.207911690800000E+000  0.000000000000000E+000  0.100000000000000E+001  0.000000000000000E+000  0.207911690800000E+000  0.000000000000000E+000  0.978147600700000E+000 -0.235342312728420E+000  0.000000000000000E+000  0.500235528064800E-001
  0.150000000000000E+000 -0.910134454658433E+002  0.623165581636886E-012  0.621895333243418E+003  0.937103364998612E-012  0.184021999738392E+002  0.524521409660219E-012  0.978147600700000E+000  0.000000000000000E+000 -0.207911690800000E+000  0.000000000000000E+000  0.100000000000000E+001  0.000000000000000E+000  0.207911690800000E+000  0.000000000000000E+000  0.978147600700000E+000 -0.235342312728420E+000  0.000000000000000E+000  0.500235528064800E-001
  0.156250000000000E+000 -0.910669226694212E+002  0.985982129275698E-012  0.622052297135008E+003  0.109937432242128E-011  0.184044536972178E+002  0.529121190855636E-012  0.978147600700000E+000  0.000000000000000E+000 -0.207911690800000E+000  0.000000000000000E+000  0.100000000000000E+001  0.000000000000000E+000  0.207911690800000E+000  0.000000000000000E+000  0.978147600700000E+000 -0.235342312728420E+000  0.000000000000000E+000  0.500235528064800E-001
  0.162500000000000E+000 -0.911169236234438E+002  0.740867436843651E-012  0.622218402421129E+003  0.897917302102620E-012  0.184053210477143E+002  0.500505296549636E-012  0.978147600700000E+000  0.000000000000000E+000 -0.207911690800000E+000  0.000000000000000E+000  0.100000000000000E+001  0.000000000000000E+000  0.207911690800000E+000  0.000000000000000E+000  0.978147600700000E+000 -0.235342312728420E+000  0.000000000000000E+000  0.500235528064800E-001
  0.168750000000000E+000 -0.911627115802523E+002  0.466843577684450E-012  0.622367661983866E+003  0.111760333065928E-011  0.184064206553074E+002  0.547371257334315E-012  0.978147600700000E+000  0.000000000000000E+000 -0.207911690800000E+000  0.000000000000000E+000  0.100000000000000E+001  0.000000000000000E+000  0.207911690800000E+000  0.000000000000000E+000  0.978147600700000E+000 -0.235342312728420E+000  0.000000000000000E+000  0.500235528064800E-001
  0.175000000000000E+000 -0.912038288497520E+002  0.603942243437849E-012  0.622498279601724E+003  0.160441737269614E-011  0.184078717841329E+002  0.573947430103159E-012  0.978147600700000E+000  0.000000000000000E+000 -0.207911690800000E+000  0.000000000000000E+000  0.100000000000000E+001  0.000000000000000E+000  0.207911690800000E+000  0.000000000000000E+000  0.978147600700000E+000 -0.235342312728420E+000  0.000000000000000E+000  0.500235528064800E-001
  0.181250000000000E+000 -0.912401585544597E+002  0.392295571027823E-012  0.622611463978034E+003  0.101503553351168E-011  0.184093474041252E+002  0.501216839346912E-012  0.978147600700000E+000  0.000000000000000E+000 -0.207911690800000E+000  0.000000000000000E+000  0.100000000000000E+001  0.000000000000000E+000  0.207911690800000E+000  0.000000000000000E+000  0.978147600700000E+000 -0.235342312728420E+000  0.000000000000000E+000  0.500235528064800E-001
  0.187500000000000E+000 -0.912728806938064E+002  0.581559973789059E-012  0.622715881945746E+003  0.165702217817429E-011  0.184105999976844E+002  0.608924127467670E-012  0.978147600700000E+000  0.000000000000000E+000 -0.207911690800000E+000  0.000000000000000E+000  0.100000000000000E+001  0.000000000000000E+000  0.207911690800000E+000  0.000000000000000E+000  0.978147600700000E+000 -0.235342312728420E+000  0.000000000000000E+000  0.500235528064800E-001
